SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\events\2026090608.jsonl	8996315	19358	19357	CONTRACT_OK_OFFSET=19357
landing\events\2026090609.jsonl	12092686	26017	26016	CONTRACT_OK_OFFSET=26016
landing\events\2026090610.jsonl	15080217	32445	32444	CONTRACT_OK_OFFSET=32444
landing\events\2026090611.jsonl	17291695	37198	37197	CONTRACT_OK_OFFSET=37197
landing\events\2026090612.jsonl	18502991	39804	39803	CONTRACT_OK_OFFSET=39803
landing\events\2026090613.jsonl	16147426	34736	34735	CONTRACT_OK_OFFSET=34735
landing\events\2026090614.jsonl	15692460	33760	33759	CONTRACT_OK_OFFSET=33759
landing\events\2026090615.jsonl	14275535	30707	30706	CONTRACT_OK_OFFSET=30706
landing\events\2026090616.jsonl	13227116	28458	28457	CONTRACT_OK_OFFSET=28457
landing\events\2026090617.jsonl	16168955	34789	34788	CONTRACT_OK_OFFSET=34788
landing\events\2026090620.jsonl	1846	5	4	CONTRACT_OK_OFFSET=4
landing\events\2026090621.jsonl	9053	23	21	CONTRACT_OK_OFFSET=21
landing\events\2026090700.jsonl	348746	1001	999	CONTRACT_OK_OFFSET=999
landing\events\2026090701.jsonl	359896	1010	1009	CONTRACT_OK_OFFSET=1009
landing\events\2026090703.jsonl	918	4	3	CONTRACT_OK_OFFSET=3
landing\events\2026091115.jsonl	19365	41	40	CONTRACT_OK_OFFSET=40
landing\events\2026091120.jsonl	460026	1014	1013	CONTRACT_OK_OFFSET=1013
landing\events\2026091121.jsonl	165616	368	367	CONTRACT_OK_OFFSET=367
landing\events\2026091122.jsonl	130261	288	287	CONTRACT_OK_OFFSET=287
landing\events\2026091209.jsonl	1131	4	3	CONTRACT_OK_OFFSET=3
landing\events\2026091210.jsonl	584644	1294	1293	CONTRACT_OK_OFFSET=1293
landing\events\2026091211.jsonl	631946	1392	1391	CONTRACT_OK_OFFSET=1391
landing\events\2026091215.jsonl	994	3	2	CONTRACT_OK_OFFSET=2
landing\events\b08-gate-20260911-1555.jsonl	586	3	2	CONTRACT_OK_OFFSET=2
landing\events\b11-fixture-20260911162916.jsonl	586	3	2	CONTRACT_OK_OFFSET=2
landing\events\gen-s3b-1000-20260911.jsonl	363848	1001	1000	CONTRACT_OK_OFFSET=1000
landing\events\golden-r615-20260910164859.jsonl	18429	55	54	CONTRACT_OK_OFFSET=54
landing\events\golden-r615b-20260910165249.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\golden-r618-tampered-20260910.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\golden-r619-clean-20260910.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\golden-r70-clean-20260910.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\golden-r73-clean-20260910.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\r2-golden55-20260912-172221.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\r2ctl-b31replay-20260912-173418.jsonl	363848	1001	1000	CONTRACT_OK_OFFSET=1000
landing\events\r9-m1-123006.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\r9-prunefix-105922.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\r9-prunefix-110637.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\events\r9-qualityfail-103736.jsonl	18430	56	54	CONTRACT_OK_OFFSET=54
landing\quarantine\11\2026090701.jsonl	0	1	0	
landing\quarantine\13\2026090701.jsonl	296	2	1	CONTRACT_OK_OFFSET=1
landing\quarantine\14\2026090701.jsonl	0	1	0	
landing\quarantine\15\2026090701.jsonl	0	1	0	
landing\quarantine\16\2026090703.jsonl	0	1	0	
landing\quarantine\17\golden-r615-20260910164859.jsonl	720	4	2	CONTRACT_OK_OFFSET=2
landing\quarantine\18\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\18\golden-r615b-20260910165249.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\19\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\19\golden-r618-tampered-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\2\2026090509.jsonl	0	1	0	
landing\quarantine\2\2026090510.jsonl	0	1	0	
landing\quarantine\2\2026090511.jsonl	0	1	0	
landing\quarantine\2\2026090512.jsonl	0	1	0	
landing\quarantine\2\2026090513.jsonl	0	1	0	
landing\quarantine\2\2026090514.jsonl	0	1	0	
landing\quarantine\2\2026090515.jsonl	0	1	0	
landing\quarantine\2\2026090516.jsonl	0	1	0	
landing\quarantine\2\2026090517.jsonl	0	1	0	
landing\quarantine\2\2026090518.jsonl	0	1	0	
landing\quarantine\2\2026090519.jsonl	0	1	0	
landing\quarantine\2\2026090520.jsonl	0	1	0	
landing\quarantine\2\2026090521.jsonl	0	1	0	
landing\quarantine\2\2026090522.jsonl	0	1	0	
landing\quarantine\2\2026090523.jsonl	0	1	0	
landing\quarantine\2\2026090600.jsonl	0	1	0	
landing\quarantine\2\2026090601.jsonl	0	1	0	
landing\quarantine\2\2026090602.jsonl	0	1	0	
landing\quarantine\2\2026090603.jsonl	0	1	0	
landing\quarantine\2\2026090604.jsonl	0	1	0	
landing\quarantine\2\2026090605.jsonl	0	1	0	
landing\quarantine\2\2026090606.jsonl	0	1	0	
landing\quarantine\2\2026090607.jsonl	0	1	0	
landing\quarantine\2\2026090608.jsonl	0	1	0	
landing\quarantine\2\2026090609.jsonl	0	1	0	
landing\quarantine\2\2026090610.jsonl	0	1	0	
landing\quarantine\2\2026090611.jsonl	0	1	0	
landing\quarantine\2\2026090612.jsonl	0	1	0	
landing\quarantine\2\2026090613.jsonl	0	1	0	
landing\quarantine\2\2026090614.jsonl	0	1	0	
landing\quarantine\2\2026090615.jsonl	0	1	0	
landing\quarantine\2\2026090616.jsonl	0	1	0	
landing\quarantine\2\2026090617.jsonl	0	1	0	
landing\quarantine\2\2026090620.jsonl	0	1	0	
landing\quarantine\2\2026090621.jsonl	0	1	0	
landing\quarantine\20\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\20\golden-r619-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\21\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\21\golden-r70-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\22\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\22\golden-r73-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\23\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\23\golden-r73b-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\24\golden-r615-20260910164859.jsonl	0	1	0	
landing\quarantine\24\golden-r73c-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\25\golden-r615-20260910164859.jsonl	0	1	0	
