### 批次 45 隔离明细（quarantine_record, 只读）时间 2026-09-12 22:09:02 
--- 按原因聚合计数据（batch_id=45）---
reason	n
缺失必要字段: event_id	31
payload 缺失必要字段: user_id	18
payload 缺失必要字段: order_id	12
payload 缺失必要字段: amount	5
金额格式违规: cost 类型异常	4
非法 behavior_type: add_cart	2
非法 behavior_type: cancel	2
非法 behavior_type: pay_later	2
非法 behavior_type: purchase	2
payload 缺失必要字段: age_group	1
payload 缺失必要字段: behavior_type	1
payload 缺失必要字段: category_id	1
payload 缺失必要字段: items	1
payload 缺失必要字段: member_level	1
payload 缺失必要字段: payment_id	1
payload 缺失必要字段: price	1
payload 缺失必要字段: reason	1
payload 缺失必要字段: refund_id	1
payload 缺失必要字段: session_id	1
payload 缺失必要字段: total_amount	1
payload 缺失或非对象	1
缺失必要字段: event_time	1
缺失必要字段: event_type	1
缺失必要字段: ingest_time	1
缺失必要字段: schema_version	1
缺失必要字段: source_system	1
缺失必要字段: trace_id	1
--- 逐行明细（batch_id=45，按 raw_path, id 排序）---
id	event_id	schema_version	reason	quar_file
204	b3b-evt-0012	1.0	非法 behavior_type: cancel	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
205	b3b-evt-0013	1.0	非法 behavior_type: purchase	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
206	b3b-evt-0014	1.0	非法 behavior_type: add_cart	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
207	b3b-evt-0015	1.0	非法 behavior_type: pay_later	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
208	b3b-evt-0016	1.0	非法 behavior_type: cancel	D:\Develop_code\GraduationProject\landing\quarantine\45\b3b-ambiguous-mapping.jsonl
--- ingestion_batch_file（batch_id=45）---
file_path	start_offset	end_offset	record_count	status
b1a-envelope-vocab.jsonl	0	8950	0	LANDED
b1b-payload-vocab.jsonl	0	10406	0	LANDED
b2-missing-optional.jsonl	0	20507	56	LANDED
b3a-missing-required.jsonl	0	9537	10	LANDED
b3b-ambiguous-mapping.jsonl	0	9894	18	LANDED
--- event_id 为空的行数（看能否按 id 反查）---
total	null_event_id
96	31
